Date,Price
10/4/18 0:00,6563.628333
10/5/18 0:00,6568.549167
10/6/18 0:00,6581.486667
10/7/18 0:00,6558.5375
10/8/18 0:00,6618.567692
10/9/18 0:00,6621.711667
10/10/18 0:00,6563.009167
10/11/18 0:00,6248.635833
10/12/18 0:00,6260.530833
10/13/18 0:00,6260.645833
10/14/18 0:00,6299.399167
10/15/18 0:00,6452.571667
10/16/18 0:00,6596.618333
10/17/18 0:00,6596.276154
10/18/18 0:00,6568.040769
10/19/18 0:00,6487.444167
10/20/18 0:00,6488.825833
10/21/18 0:00,6531.601667
10/22/18 0:00,6498.485833
10/23/18 0:00,6481.426
10/24/18 0:00,6508.31
10/25/18 0:00,6478.0825
10/26/18 0:00,6473.753333
10/27/18 0:00,6465.9175
10/28/18 0:00,6448.221667
10/29/18 0:00,6382.668333
10/30/18 0:00,6309.452857
10/31/18 0:00,6310.284167
11/1/18 0:00,6342.280833
11/2/18 0:00,6387.674167
11/3/18 0:00,6363.795833
11/4/18 0:00,6391.873333
11/5/18 0:00,6436.965
11/6/18 0:00,6445.354167
11/7/18 0:00,6538.79
11/8/18 0:00,6486.251667
11/9/18 0:00,6411.280833
11/10/18 0:00,6399.033333
11/11/18 0:00,6378.268333
11/12/18 0:00,6401.936667
11/13/18 0:00,6372.063333
11/14/18 0:00,6176.155
11/15/18 0:00,5615.18
11/16/18 0:00,5596.1925
11/17/18 0:00,5558.243333
11/18/18 0:00,5606.044167
11/19/18 0:00,5303.9425
11/20/18 0:00,4671.97
11/21/18 0:00,4533.680833
11/22/18 0:00,4548.7975
11/23/18 0:00,4309.3375
11/24/18 0:00,4293.840833
11/25/18 0:00,3823.511667
11/26/18 0:00,3920.536667
11/27/18 0:00,3751.668333
11/28/18 0:00,4103.453846
11/29/18 0:00,4263.783333
11/30/18 0:00,4106.871667
12/1/18 0:00,4116.7775
12/2/18 0:00,4167.546667
12/3/18 0:00,3967.524167
12/4/18 0:00,3961.493333
12/5/18 0:00,3858.349167
12/6/18 0:00,3742.943333
12/7/18 0:00,3405.643333
12/8/18 0:00,3435.34
12/9/18 0:00,3528.803333
12/10/18 0:00,3523.96
12/11/18 0:00,3426.19
12/12/18 0:00,3462.04
12/13/18 0:00,3406.7625
12/14/18 0:00,3278.374167
12/15/18 0:00,3225.299167
12/16/18 0:00,3271.238333
12/17/18 0:00,3392.405
12/18/18 0:00,3567.47
12/19/18 0:00,3808.0425
12/20/18 0:00,3982.850833
12/21/18 0:00,4015.609167
12/22/18 0:00,3910.973333
12/23/18 0:00,4027.478333
12/24/18 0:00,4178.590833
12/25/18 0:00,3813.88
12/26/18 0:00,3825.379167
12/27/18 0:00,3747.839167
12/28/18 0:00,3743.905
12/29/18 0:00,3912.285833
12/30/18 0:00,3832.921667
12/31/18 0:00,3791.545833
1/1/19 0:00,3752.271667
1/2/19 0:00,3867.138333
1/3/19 0:00,3865.7975
1/4/19 0:00,3822.626667
1/5/19 0:00,3868.4875
1/6/19 0:00,3920.456667
